model_name,accuracy,precision,recall,f1,roc_auc,train_time,detector
MLP Neural Net,0.9496376811594203,0.9460819554277499,0.9536231884057971,0.9498376037531577,0.9902150283553875,4.315246105194092,FGSM
Gradient Boosting,0.9438405797101449,0.9396984924623115,0.9485507246376812,0.9441038586368554,0.9864981096408317,18.697707891464233,FGSM
LightGBM,0.9416666666666667,0.9419869470630892,0.941304347826087,0.9416455237404857,0.9893294475950432,0.14623785018920898,FGSM
XGBoost,0.938768115942029,0.9403636363636364,0.9369565217391305,0.9386569872958258,0.9876680319260659,0.41129064559936523,FGSM
SVM (RBF),0.9333333333333333,0.9449404761904762,0.9202898550724637,0.9324522760646109,0.9846455576559545,6.341015577316284,FGSM
Random Forest,0.928623188405797,0.9246231155778895,0.9333333333333333,0.9289578074287775,0.981410417979416,0.378279447555542,FGSM
Logistic Regression,0.9007246376811594,0.9145427286356822,0.8840579710144928,0.899042004421518,0.9656758034026466,0.1525566577911377,FGSM
KNN,0.8463768115942029,0.8458755426917511,0.8471014492753624,0.8464880521361332,0.9177168662045789,0.0015048980712890625,FGSM
Voting Ensemble,0.9438405797101449,0.9461034231609614,0.941304347826087,0.9436977842353795,0.988218861583701,0.0,FGSM
MLP Neural Net,0.9159420289855073,0.9153400868306801,0.9166666666666666,0.9160028964518465,0.9768383742911154,6.701975345611572,PGD
LightGBM,0.9134057971014493,0.889419795221843,0.9442028985507246,0.9159929701230228,0.9737360848561227,0.15891551971435547,PGD
XGBoost,0.9014492753623189,0.8743243243243243,0.9376811594202898,0.9048951048951049,0.9695841209829869,0.27852320671081543,PGD
Gradient Boosting,0.8963768115942029,0.8651535380507344,0.9391304347826087,0.9006254343293955,0.9658223062381852,18.66193652153015,PGD
SVM (RBF),0.8978260869565218,0.884453781512605,0.9152173913043479,0.8995726495726496,0.9634097353497165,9.659213304519653,PGD
Random Forest,0.8641304347826086,0.8248222365869424,0.9246376811594202,0.8718824735223779,0.9482724217601344,0.4133021831512451,PGD
Logistic Regression,0.8173913043478261,0.8033240997229917,0.8405797101449275,0.8215297450424929,0.8925000000000001,0.23511362075805664,PGD
KNN,0.7394927536231884,0.7111821086261981,0.8065217391304348,0.7558573853989813,0.813025624868725,0.001508474349975586,PGD
Voting Ensemble,0.9007246376811594,0.8686666666666667,0.9442028985507246,0.9048611111111111,0.9697894349926486,0.0,PGD
MLP Neural Net,0.9315217391304348,0.9155617585484996,0.9507246376811594,0.9328119445431923,0.9816070678428901,6.66631555557251,Combined
LightGBM,0.9199275362318841,0.9015939015939016,0.9427536231884058,0.9217144881331917,0.9803491913463558,0.1430492401123047,Combined
XGBoost,0.9184782608695652,0.9024390243902439,0.9384057971014492,0.9200710479573713,0.9774963243016173,0.2974975109100342,Combined
Gradient Boosting,0.9144927536231884,0.8928571428571429,0.9420289855072463,0.9167842031029619,0.974815427431212,19.179847478866577,Combined
SVM (RBF),0.9112318840579711,0.898805340829234,0.9268115942028986,0.9125936496610774,0.9729093152699013,10.010160684585571,Combined
Random Forest,0.8952898550724637,0.8688302907369845,0.9311594202898551,0.8989157047918853,0.9654993698802774,0.4175097942352295,Combined
Logistic Regression,0.8449275362318841,0.8444283646888567,0.8456521739130435,0.8450398262128892,0.9222679059021215,0.2564578056335449,Combined
KNN,0.7735507246376812,0.7562797012898846,0.8072463768115942,0.7809323519102699,0.8590002100399076,0.0,Combined
Voting Ensemble,0.9192028985507247,0.8997926744989634,0.9434782608695652,0.9211177927131234,0.9780508296576349,0.0,Combined
