detector,attack_type,model,scenario,is_cross_attack,accuracy,precision,recall,f1,roc_auc
FGSM,FGSM,Random Forest,FGSM Detector → FGSM Attacks,False,0.9907219483908379,0.9944493134677184,0.9869527399246159,0.9906868451688009,0.9992479572911028
FGSM,FGSM,XGBoost,FGSM Detector → FGSM Attacks,False,0.9841983183531459,0.9883040935672515,0.9799942012177443,0.9841316057650313,0.9988488181471453
FGSM,FGSM,LightGBM,FGSM Detector → FGSM Attacks,False,0.9892722528269063,0.9947229551451188,0.9837634096839664,0.9892128279883382,0.9993889337747627
FGSM,FGSM,Voting Ensemble,FGSM Detector → FGSM Attacks,False,0.9894172223832995,0.9941451990632318,0.9846332270223254,0.9893663510560816,0.9994195333216035
FGSM,PGD,Random Forest,FGSM Detector → PGD Attacks (cross),True,0.863728616990432,0.9925402434236357,0.732966077123804,0.8432288192128086,0.9852020927736228
FGSM,PGD,XGBoost,FGSM Detector → PGD Attacks (cross),True,0.8888083502464482,0.9855177407675597,0.7892142650043491,0.8765094187731444,0.982199890530962
FGSM,PGD,LightGBM,FGSM Detector → PGD Attacks (cross),True,0.8940272542766019,0.9934640522875817,0.7932734125833575,0.8821537965500564,0.9852319357382616
FGSM,PGD,Voting Ensemble,FGSM Detector → PGD Attacks (cross),True,0.8896781675848072,0.9926686217008798,0.7851551174253407,0.8768010361016675,0.9871657598468543
PGD,PGD,Random Forest,PGD Detector → PGD Attacks,False,0.9646274282400696,0.946503204235163,0.9849231661351117,0.965331059960216,0.996221292223907
PGD,PGD,XGBoost,PGD Detector → PGD Attacks,False,0.9602783415482748,0.9423237670660352,0.9805740794433169,0.9610684853651605,0.9945012446197548
PGD,PGD,LightGBM,PGD Detector → PGD Attacks,False,0.9720208756161206,0.9614512471655329,0.9834734705711801,0.9723376809516985,0.9967516143152414
PGD,PGD,Voting Ensemble,PGD Detector → PGD Attacks,False,0.9701362713830096,0.9545836837678722,0.9872426790374021,0.9706385404789054,0.9970354587380663
PGD,FGSM,Random Forest,PGD Detector → FGSM Attacks (cross),True,0.963177732676138,0.9463537300922046,0.9820237750072485,0.9638588503130335,0.9925454796273009
PGD,FGSM,XGBoost,PGD Detector → FGSM Attacks (cross),True,0.959408524209916,0.942227183924086,0.978834444766599,0.9601820250284414,0.9941622117285205
PGD,FGSM,LightGBM,PGD Detector → FGSM Attacks (cross),True,0.9673818498115396,0.9610983981693364,0.974195418962018,0.9676025917926566,0.9960207979403479
PGD,FGSM,Voting Ensemble,PGD Detector → FGSM Attacks (cross),True,0.9681066975935053,0.9544047283985364,0.9831835314583938,0.9685804055984004,0.9962041430273257
COMBINED,FGSM,Random Forest,Combined Detector → FGSM Attacks,False,0.9752102058567701,0.9772859638905067,0.9730356625108727,0.9751561818974285,0.9971624804833317
COMBINED,FGSM,XGBoost,Combined Detector → FGSM Attacks,False,0.9697013627138301,0.9652498564043653,0.9744853580748043,0.9698456211224932,0.9963494068101308
COMBINED,FGSM,LightGBM,Combined Detector → FGSM Attacks,False,0.9734705711800522,0.9755387303436226,0.9712960278341548,0.973412756065669,0.9971349072652992
COMBINED,FGSM,Voting Ensemble,Combined Detector → FGSM Attacks,False,0.9746303276311975,0.9742178447276941,0.9750652363003769,0.9746413563251702,0.9974431724803143
COMBINED,PGD,Random Forest,Combined Detector → PGD Attacks,False,0.9321542476080024,0.9751354797577303,0.8869237460133372,0.9289401761311874,0.9878160002172232
COMBINED,PGD,XGBoost,Combined Detector → PGD Attacks,False,0.9346187300666859,0.9626543209876544,0.9043200927805161,0.9325758708327104,0.9856992513450982
COMBINED,PGD,LightGBM,Combined Detector → PGD Attacks,False,0.9385329080893012,0.9736924522392734,0.901420701652653,0.9361638060825053,0.9892435027032261
COMBINED,PGD,Voting Ensemble,Combined Detector → PGD Attacks,False,0.9411423601043781,0.9723688295560385,0.9080893012467381,0.9391304347826087,0.9896351600898518
