feature,clean_mean,clean_std,clean_median,adv_mean,adv_std,adv_median,mean_diff,mean_diff_pct,mannwhitney_stat,mannwhitney_p,ks_stat,ks_p,cohens_d,effect_size,significant,comparison,cohens_d_abs,comparison_type
spectral_flatness,0.21892443828274194,0.1286970851173647,0.1692881808103093,0.489889814159476,0.1390692158597768,0.5121526673341883,0.2709653758767341,123.77118693483176,42611340.0,0.0,0.6302652558341788,0.0,1.9612391091299881,large,True,Clean vs FGSM,1.9612391091299881,clean_vs_fgsm
texture_uniformity,1.7386516296170262,0.21805855754464645,1.8029786543300057,1.9373822337202264,0.08115964748613394,1.9660538917295676,0.1987306041032002,11.430156605641843,56872811.0,0.0,0.5965357298159154,0.0,1.9571025337553571,large,True,Clean vs FGSM,1.9571025337553571,clean_vs_fgsm
freq_std,1.0703088174403452,0.13321027278461026,1.053372460989887,0.874805164960158,0.1065098671851208,0.8605634362204763,-0.1955036524801872,-18.266097529633562,414565285.0,0.0,0.5700536309610088,0.0,-1.7901837909842997,large,True,Clean vs FGSM,1.7901837909842997,clean_vs_fgsm
freq_mean,1.3567468370783482,0.452985190926521,1.2333297945985429,2.162951209234178,0.46230572574403733,2.2482016019018234,0.8062043721558299,59.421872236128316,56171939.0,0.0,0.589607189447746,0.0,1.7470267105721247,large,True,Clean vs FGSM,1.7470267105721247,clean_vs_fgsm
gradient_median,0.13184825378952697,0.08381895770060767,0.1164059443706834,0.3009380563858067,0.12365615250740754,0.3006067027838234,0.1690898025962797,128.24576557377597,61408256.5,0.0,0.585911001594434,0.0,1.40228909986846,large,True,Clean vs FGSM,1.40228909986846,clean_vs_fgsm
homogeneity,0.9139501627934897,0.042237598463122465,0.9212165418387196,0.8332404624773734,0.06028326811420778,0.830189125462192,-0.08070970031611635,-8.830864481778328,407693609.0,0.0,0.5533990433396145,0.0,-1.3709225358384463,large,True,Clean vs FGSM,1.3709225358384463,clean_vs_fgsm
tv_horizontal,1135.0163630799955,612.5910362207047,1024.2169934640524,2503.871189440167,1067.580774574276,2456.0019607843137,1368.8548263601717,120.60221075980864,63934435.0,0.0,0.5662124945644296,0.0,1.3231608715642564,large,True,Clean vs FGSM,1.3231608715642564,clean_vs_fgsm
total_variation,2402.453932605559,1330.4003029461344,2126.1281045751634,5149.3929915010885,2181.6776939399956,5102.3516339869275,2746.9390588955293,114.33888582064289,67977906.0,0.0,0.5546745905203653,0.0,1.2966437110617546,large,True,Clean vs FGSM,1.2966437110617546,clean_vs_fgsm
local_contrast_mean,0.0966172027380102,0.05347737460088622,0.0855211066922778,0.20643443253914395,0.08733528682975891,0.20454480712827294,0.10981722980113376,113.66219117857814,68268399.5,0.0,0.5533990433396145,0.0,1.2947281078023645,large,True,Clean vs FGSM,1.2947281078023645,clean_vs_fgsm
tv_vertical,1267.4375695255637,758.3574026402931,1087.0732026143792,2645.5218020609223,1133.334713292624,2636.549019607843,1378.0842325353585,108.72994975611337,73791688.5,0.0,0.5433975938541817,0.0,1.2476618464561184,large,True,Clean vs FGSM,1.2476618464561184,clean_vs_fgsm
