feature,epsilon,attack_type,cohens_d,effect_size,adv_mean,clean_mean
spectral_flatness,0.01,fgsm,0.5385046675778995,medium,0.28057976961213826,0.21892443828274194
texture_uniformity,0.01,fgsm,0.25480382379327005,small,1.7859962431257526,1.7386516296170262
freq_std,0.01,fgsm,-0.588527355557078,medium,1.0044346620747002,1.0703088174403452
freq_mean,0.01,fgsm,0.33156107929281475,small,1.4980782789319758,1.3567468370783482
gradient_median,0.01,fgsm,0.14704402685735213,negligible,0.14392404273018136,0.13184825378952697
homogeneity,0.01,fgsm,-0.1280534435661038,negligible,0.9085763500954307,0.9139501627934897
tv_horizontal,0.01,fgsm,0.13695766519972263,negligible,1218.73653944353,1135.0163630799955
total_variation,0.01,fgsm,0.12210217493482217,negligible,2565.0482881387566,2402.453932605559
local_contrast_mean,0.01,fgsm,0.12064586623488628,negligible,0.10307408968505752,0.0966172027380102
tv_vertical,0.01,fgsm,0.10379858166927239,negligible,1346.3117486952262,1267.4375695255637
spectral_flatness,0.02,fgsm,1.0295268043452217,large,0.32919256710090006,0.21892443828274194
texture_uniformity,0.02,fgsm,0.9370421073868481,large,1.8906782669499946,1.7386516296170262
freq_std,0.02,fgsm,-0.8115006930993298,large,0.9809281390449646,1.0703088174403452
freq_mean,0.02,fgsm,0.7449508282867269,medium,1.6495170552994762,1.3567468370783482
gradient_median,0.02,fgsm,0.5531348924446362,medium,0.17492129322450034,0.13184825378952697
homogeneity,0.02,fgsm,-0.4596447246412564,small,0.8954424064031431,0.9139501627934897
tv_horizontal,0.02,fgsm,0.4823097319652138,small,1419.9972188827214,1135.0163630799955
total_variation,0.02,fgsm,0.4329872393874771,small,2962.1239842470304,2402.453932605559
local_contrast_mean,0.02,fgsm,0.42912600090968417,small,0.11890937032359028,0.0966172027380102
tv_vertical,0.02,fgsm,0.3707291041529282,small,1542.1267653643088,1267.4375695255637
spectral_flatness,0.03,fgsm,1.4720431154789237,large,0.3709801194783146,0.21892443828274194
texture_uniformity,0.03,fgsm,1.1523550410758385,large,1.92121109643038,1.7386516296170262
freq_std,0.03,fgsm,-1.0264613699118221,large,0.9588417564487893,1.0703088174403452
freq_mean,0.03,fgsm,1.1257619965203711,large,1.7774696259002722,1.3567468370783482
gradient_median,0.03,fgsm,0.9178820634305365,large,0.20139064273064503,0.13184825378952697
homogeneity,0.03,fgsm,-0.7769619142751721,medium,0.8836071354471875,0.9139501627934897
tv_horizontal,0.03,fgsm,0.8099766227964276,large,1602.7167902518788,1135.0163630799955
total_variation,0.03,fgsm,0.7344749713991149,medium,3331.346935759374,2402.453932605559
local_contrast_mean,0.03,fgsm,0.7287728861162144,medium,0.13365369665811583,0.0966172027380102
tv_vertical,0.03,fgsm,0.6350358923297399,medium,1728.6301455074952,1267.4375695255637
spectral_flatness,0.04,fgsm,2.203195349481508,large,0.4388823738395472,0.21892443828274194
texture_uniformity,0.04,fgsm,1.333882751694295,large,1.947148932975316,1.7386516296170262
freq_std,0.04,fgsm,-1.431944884244416,large,0.9179736566608054,1.0703088174403452
freq_mean,0.04,fgsm,1.780597931014358,large,1.9848735354837932,1.3567468370783482
gradient_median,0.04,fgsm,1.5495601778607968,large,0.24625292562169485,0.13184825378952697
homogeneity,0.04,fgsm,-1.3942976679441779,large,0.8619332197583314,0.9139501627934897
tv_horizontal,0.04,fgsm,1.4511736296964952,large,1946.3276615820992,1135.0163630799955
total_variation,0.04,fgsm,1.334631193761316,large,4035.666496707394,2402.453932605559
local_contrast_mean,0.04,fgsm,1.3262957954010608,large,0.16180766930005333,0.0966172027380102
tv_vertical,0.04,fgsm,1.1692170582425638,large,2089.338835125295,1267.4375695255637
spectral_flatness,0.05,fgsm,2.651253532434579,large,0.48057711731315195,0.21892443828274194
texture_uniformity,0.05,fgsm,1.402371623581184,large,1.956971417302527,1.7386516296170262
freq_std,0.05,fgsm,-1.7142278756622322,large,0.890301933903635,1.0703088174403452
freq_mean,0.05,fgsm,2.2030358681476567,large,2.1151879125541346,1.3567468370783482
gradient_median,0.05,fgsm,1.9788430166636233,large,0.2766626421937166,0.13184825378952697
