detector,model,feature,importance
FGSM,Random Forest,pixel_mean,0.0038605191112339996
FGSM,Random Forest,pixel_std,0.0040978077963551175
FGSM,Random Forest,pixel_min,0.0034264411248946243
FGSM,Random Forest,pixel_max,0.00079897797538516
FGSM,Random Forest,pixel_range,0.006811021807410591
FGSM,Random Forest,pixel_median,0.0032828624645665798
FGSM,Random Forest,pixel_skewness,0.002993160166594782
FGSM,Random Forest,pixel_kurtosis,0.00312309716431698
FGSM,Random Forest,pixel_p25,0.0033725151327953086
FGSM,Random Forest,pixel_p75,0.00856041436953018
FGSM,Random Forest,pixel_iqr,0.0033852770026930224
FGSM,Random Forest,R_mean,0.00657684016660489
FGSM,Random Forest,R_std,0.004016858077229086
FGSM,Random Forest,R_min,0.010938999943683978
FGSM,Random Forest,R_max,0.0014438846872297814
FGSM,Random Forest,R_skewness,0.004341865791684408
FGSM,Random Forest,R_kurtosis,0.003821413898062582
FGSM,Random Forest,G_mean,0.004635775292646999
FGSM,Random Forest,G_std,0.004200602758028347
FGSM,Random Forest,G_min,0.009883687854577787
FGSM,Random Forest,G_max,0.002021595999394894
FGSM,Random Forest,G_skewness,0.003172718941023284
FGSM,Random Forest,G_kurtosis,0.003625840814906847
FGSM,Random Forest,B_mean,0.00438218693837163
FGSM,Random Forest,B_std,0.008900993153046701
FGSM,Random Forest,B_min,0.0029872141577283844
FGSM,Random Forest,B_max,0.002494742345576062
FGSM,Random Forest,B_skewness,0.004347010783224002
FGSM,Random Forest,B_kurtosis,0.003791372047708655
FGSM,Random Forest,freq_mean,0.06219596185616586
FGSM,Random Forest,freq_std,0.08505800258855217
FGSM,Random Forest,freq_max,0.003971710927960613
FGSM,Random Forest,freq_min,0.08609037551953991
FGSM,Random Forest,low_freq_energy,0.012374278154419615
FGSM,Random Forest,high_freq_energy,0.016335773341287402
FGSM,Random Forest,freq_energy_ratio,0.012267515912864773
FGSM,Random Forest,spectral_entropy,0.0044075357219385955
FGSM,Random Forest,spectral_flatness,0.10775824571660536
FGSM,Random Forest,gradient_mean,0.011084337342772442
FGSM,Random Forest,gradient_std,0.024114383245204256
FGSM,Random Forest,gradient_max,0.01476559169297572
FGSM,Random Forest,gradient_min,0.012046035827952493
FGSM,Random Forest,gradient_median,0.07340479326013372
FGSM,Random Forest,gradient_skewness,0.011582712398036767
FGSM,Random Forest,gradient_kurtosis,0.009074647132718239
FGSM,Random Forest,total_variation,0.04711318443740541
FGSM,Random Forest,tv_horizontal,0.05316964150481116
FGSM,Random Forest,tv_vertical,0.022696921901889194
FGSM,Random Forest,edge_density,0.0002730723105847071
FGSM,Random Forest,gradient_dir_std,0.016624416582714976
FGSM,Random Forest,corr_RG,0.005965127741490303
FGSM,Random Forest,corr_RB,0.004145208072892508
FGSM,Random Forest,corr_GB,0.006674701023917055
FGSM,Random Forest,color_variance,0.004205654860042753
FGSM,Random Forest,color_entropy,0.005412526494182479
FGSM,Random Forest,luminance_mean,0.003934530546182317
FGSM,Random Forest,luminance_std,0.004050605296001191
FGSM,Random Forest,saturation_mean,0.005460113132191795
FGSM,Random Forest,saturation_std,0.007369836987118184
FGSM,Random Forest,color_moment_1,0.0035721257357874936
FGSM,Random Forest,color_moment_2,0.0036961462388029388
FGSM,Random Forest,color_moment_3,0.0033037470155265814
FGSM,Random Forest,texture_uniformity,0.05721919489443638
FGSM,Random Forest,local_contrast_mean,0.03874885313861059
FGSM,Random Forest,homogeneity,0.03053679367977948
FGSM,XGBoost,pixel_mean,0.011024599894881248
FGSM,XGBoost,pixel_std,0.005006818100810051
FGSM,XGBoost,pixel_min,0.004570555407553911
FGSM,XGBoost,pixel_max,0.009258816950023174
FGSM,XGBoost,pixel_range,0.015971485525369644
FGSM,XGBoost,pixel_median,0.006267434451729059
FGSM,XGBoost,pixel_skewness,0.0031248743180185556
FGSM,XGBoost,pixel_kurtosis,0.0036665149964392185
FGSM,XGBoost,pixel_p25,0.0024730872828513384
FGSM,XGBoost,pixel_p75,0.029452532529830933
FGSM,XGBoost,pixel_iqr,0.005865093320608139
FGSM,XGBoost,R_mean,0.005616694688796997
FGSM,XGBoost,R_std,0.0047624739818274975
FGSM,XGBoost,R_min,0.02808777242898941
FGSM,XGBoost,R_max,0.0059266043826937675
FGSM,XGBoost,R_skewness,0.006681842263787985
FGSM,XGBoost,R_kurtosis,0.0056947702541947365
FGSM,XGBoost,G_mean,0.004501037765294313
FGSM,XGBoost,G_std,0.00500528747215867
FGSM,XGBoost,G_min,0.025132430717349052
FGSM,XGBoost,G_max,0.012897827662527561
FGSM,XGBoost,G_skewness,0.0028812733944505453
FGSM,XGBoost,G_kurtosis,0.003866539103910327
FGSM,XGBoost,B_mean,0.010553584434092045
FGSM,XGBoost,B_std,0.016038604080677032
FGSM,XGBoost,B_min,0.011821389198303223
FGSM,XGBoost,B_max,0.0146807124838233
FGSM,XGBoost,B_skewness,0.007624990772455931
FGSM,XGBoost,B_kurtosis,0.004292744677513838
FGSM,XGBoost,freq_mean,0.014870229177176952
FGSM,XGBoost,freq_std,0.02550860494375229
FGSM,XGBoost,freq_max,0.0
FGSM,XGBoost,freq_min,0.008601347915828228
FGSM,XGBoost,low_freq_energy,0.018316905945539474
FGSM,XGBoost,high_freq_energy,0.0
FGSM,XGBoost,freq_energy_ratio,0.0
