epsilon,accuracy,precision,recall,f1,roc_auc,detector,attack_evaluated
0.01,0.7199594144078852,0.9591527987897126,0.4594868821568343,0.6213249705997648,0.9532078095896771,FGSM,FGSM
0.02,0.9216553123641107,0.9778252299605782,0.8628786780692854,0.9167629167629168,0.9897774194205122,FGSM,FGSM
0.03,0.9723148282359763,0.9801090319728893,0.9641977098130163,0.9720882653806809,0.9959892387209642,FGSM,FGSM
0.04,0.9884041165386288,0.9807390497931231,0.9963762864183215,0.9884958297382801,0.9988992608884899,FGSM,FGSM
0.05,0.9897811276996666,0.9807911212293683,0.9991303087403972,0.9898757808573275,0.9995289750121022,FGSM,FGSM
0.06,0.9902159733294681,0.9808075063974979,1.0,0.9903107729849996,0.9998630352872071,FGSM,FGSM
0.07,0.9902159733294681,0.9808075063974979,1.0,0.9903107729849996,0.999934259459069,FGSM,FGSM
0.08,0.9902159733294681,0.9808075063974979,1.0,0.9903107729849996,0.9999684428595467,FGSM,FGSM
0.09,0.9902159733294681,0.9808075063974979,1.0,0.9903107729849996,0.9999742416416806,FGSM,FGSM
0.1,0.9902159733294681,0.9808075063974979,1.0,0.9903107729849996,0.9999812590084659,FGSM,FGSM
0.01,0.6204522394549935,0.9301242236024845,0.2604725322510509,0.4069754274714075,0.8990480353673606,FGSM,PGD
0.02,0.6816929989853602,0.9513863881886928,0.38295405131178434,0.5460934270359653,0.9404128808515622,FGSM,PGD
0.03,0.7467748949123061,0.963265306122449,0.5131178431656762,0.6695668621146208,0.961143201323988,FGSM,PGD
0.04,0.8217857660530512,0.9713375796178344,0.6631395854471662,0.7881815832543716,0.9767232262927876,FGSM,PGD
0.05,0.9026670531961154,0.9768280123583934,0.8249021597332947,0.8944597249508841,0.9879753743371241,FGSM,PGD
0.06,0.9103493259892738,0.977242076871207,0.8402667053196116,0.9035928610396695,0.9886683393071645,FGSM,PGD
0.07,0.9145528337440209,0.9774624373956594,0.8486737208291056,0.9085266506323222,0.989182603040104,FGSM,PGD
0.08,0.9159298449050587,0.9775336994508238,0.8514277431511813,0.910133250697242,0.9891045190770582,FGSM,PGD
0.09,0.9691984345557327,0.979982206405694,0.9579649224525294,0.9688484937330499,0.9953742946837291,FGSM,PGD
0.1,0.969488331642267,0.9799940723177237,0.9585447166255979,0.9691507290979703,0.99537654276231,FGSM,PGD
0.01,0.8357733004783302,0.8971369792559575,0.7585157269169445,0.8220232485076971,0.937844629658573,PGD,PGD
0.02,0.8848383823742572,0.9078341013824884,0.8566458907087984,0.8814975016779775,0.9627730582951359,PGD,PGD
0.03,0.9136106682127845,0.9131316056174895,0.914190462385853,0.9136607272200492,0.9747676710584527,PGD,PGD
0.04,0.9334686186403827,0.9164461774126166,0.9539063632410494,0.9348011363636364,0.9836082505828564,PGD,PGD
0.05,0.9449195535584868,0.918244992505791,0.9768082330772576,0.9466217165332209,0.9895271893653865,PGD,PGD
0.06,0.9449195535584868,0.918244992505791,0.9768082330772576,0.9466217165332209,0.9899605642895744,PGD,PGD
0.07,0.9464415132627917,0.9184782608695652,0.9798521524858675,0.9481730836664563,0.9903983723406833,PGD,PGD
0.08,0.9461516161762574,0.9184339314845025,0.9792723583127989,0.9478779375657664,0.9904555617789748,PGD,PGD
0.09,0.9505000724742716,0.919093851132686,0.9879692709088274,0.9522878099895214,0.9927119183314652,PGD,PGD
0.1,0.9507899695608059,0.9191374663072777,0.9885490650818959,0.9525804874642084,0.9927321090185327,PGD,PGD
0.01,0.896651688650529,0.9100854188520905,0.8802725032613422,0.8949307397583259,0.9664106385297431,PGD,FGSM
0.02,0.9414407885200754,0.9177067617610754,0.9698507030004349,0.9430584918957012,0.9880461257821815,PGD,FGSM
0.03,0.9457892448180896,0.9183784519113046,0.9785476155964633,0.9475087719298245,0.9904095497033472,PGD,FGSM
0.04,0.9463690389911581,0.918467183041174,0.9797072039426004,0.9480993126665731,0.9882975534118784,PGD,FGSM
0.05,0.9470213074358602,0.9185667752442996,0.9810117408320046,0.9487628793719773,0.9848705151909077,PGD,FGSM
0.06,0.9478185244238295,0.9186881691286082,0.9826061748079432,0.9495727692954196,0.9801872002347414,PGD,FGSM
0.07,0.9481084215103638,0.9187322226737099,0.9831859689810117,0.9498669654110069,0.978055013256205,PGD,FGSM
0.08,0.9442672851137847,0.9181446111869032,0.9755036961878533,0.9459554431091433,0.9749200991902695,PGD,FGSM
0.09,0.945716770546456,0.9183673469387755,0.9784026670531961,0.9474349077128219,0.9762105593259428,PGD,FGSM
0.1,0.9479634729670967,0.9187102018696653,0.9828960718944775,0.949719887955182,0.9774468134547125,PGD,FGSM
0.01,0.8628062037976518,0.9412905500705219,0.7738802725032613,0.8494153209768515,0.9635798453746339,COMBINED,FGSM
0.02,0.9520945064502102,0.9517670915411356,0.9524568778083781,0.9521118597406361,0.989136443893915,COMBINED,FGSM
0.03,0.9657196695173214,0.9530456852791879,0.9797072039426004,0.9661925523550854,0.9937679690024,COMBINED,FGSM
0.04,0.9723873025076099,0.9536469933184856,0.9930424699231772,0.97294610523326,0.9967539846299919,COMBINED,FGSM
0.05,0.9744890563849833,0.9538333564397615,0.9972459776779243,0.9750566893424036,0.998098650772569,COMBINED,FGSM
