model_name,accuracy,precision,recall,f1,roc_auc,train_time,epsilon,attack_type
Random Forest,0.8467391304347827,0.8093083387201034,0.9072463768115943,0.8554834301332422,0.9405119722747322,0.4129805564880371,0.01,fgsm
XGBoost,0.8876811594202898,0.8624661246612466,0.922463768115942,0.8914565826330533,0.9634341524889729,0.26442790031433105,0.01,fgsm
LightGBM,0.8923913043478261,0.8646464646464647,0.9304347826086956,0.8963350785340314,0.9652830287754675,0.13463568687438965,0.01,fgsm
Random Forest,0.9177536231884058,0.8755700325732899,0.9739130434782609,0.9221269296740995,0.9767832388153749,0.3991408348083496,0.02,fgsm
XGBoost,0.9405797101449276,0.9108108108108108,0.9768115942028985,0.9426573426573427,0.9867672232724218,0.2629516124725342,0.02,fgsm
LightGBM,0.9485507246376812,0.9316596931659693,0.9681159420289855,0.9495380241648899,0.9893467758874187,0.1407485008239746,0.02,fgsm
Random Forest,0.9481884057971014,0.9153794492948287,0.9876811594202899,0.9501568490763332,0.9904164041167821,0.3795609474182129,0.03,fgsm
XGBoost,0.9630434782608696,0.9388736263736264,0.9905797101449275,0.964033850493653,0.9951979626128965,0.24844622611999512,0.03,fgsm
LightGBM,0.9684782608695652,0.9480249480249481,0.991304347826087,0.9691817215727949,0.9963773366939719,0.13776230812072754,0.03,fgsm
Random Forest,0.9710144927536232,0.9464285714285714,0.9985507246376811,0.9717912552891397,0.997833963453056,0.37421512603759766,0.04,fgsm
XGBoost,0.9815217391304348,0.9669711876317639,0.9971014492753624,0.981805208704959,0.9991425120772948,0.22481369972229004,0.04,fgsm
LightGBM,0.9833333333333333,0.9717114568599717,0.9956521739130435,0.9835361488904796,0.9990369670237346,0.13295435905456543,0.04,fgsm
Random Forest,0.9797101449275363,0.9622905027932961,0.9985507246376811,0.9800853485064012,0.9987371350556606,0.3512575626373291,0.05,fgsm
XGBoost,0.9873188405797102,0.9772888573456352,0.9978260869565218,0.9874506991753317,0.9994475950430582,0.20830535888671875,0.05,fgsm
LightGBM,0.9905797101449275,0.9815078236130867,1.0,0.990667623833453,0.9997216971224533,0.12970399856567383,0.05,fgsm
Random Forest,0.991304347826087,0.9829059829059829,1.0,0.9913793103448276,0.9997190716236085,0.33463311195373535,0.06,fgsm
XGBoost,0.9927536231884058,0.9871060171919771,0.9985507246376811,0.9927953890489913,0.9998850031505986,0.19305014610290527,0.06,fgsm
LightGBM,0.9931159420289855,0.9871152469577666,0.9992753623188406,0.9931580842635938,0.9999033816425121,0.1290132999420166,0.06,fgsm
Random Forest,0.9923913043478261,0.9857040743388135,0.9992753623188406,0.9924433249370277,0.9998146397815585,0.32996058464050293,0.07,fgsm
XGBoost,0.9942028985507246,0.9892395982783357,0.9992753623188406,0.9942321557317952,0.9999506406217181,0.19367265701293945,0.07,fgsm
LightGBM,0.9942028985507246,0.9892395982783357,0.9992753623188406,0.9942321557317952,0.9999606175173282,0.12745308876037598,0.07,fgsm
Random Forest,0.994927536231884,0.9906609195402298,0.9992753623188406,0.9949494949494949,0.9999023314429741,0.30819058418273926,0.08,fgsm
