feature,stat_fgsm_d,stat_pgd_d,stat_mean_d,stat_max_d,model_fgsm_imp,model_pgd_imp,model_combined_imp,model_mean_imp,category,stat_rank,model_rank,rank_diff
local_contrast_mean,1.2947281078023645,0.3739283471270993,0.8343282274647319,1.2947281078023645,6.024061729587292,11.011051538096536,5.6793790943846645,7.571497454022831,Texture,9.0,39.0,-30.0
freq_std,1.7901837909842997,1.0824882573482408,1.4363360241662702,1.7901837909842997,90.0368555358441,103.05914776376449,109.71347534550408,100.93649288170423,Frequency,2.0,1.0,1.0
total_variation,1.2966437110617546,0.3777759971491364,0.8372098541054455,1.2966437110617546,8.685002384891197,18.675505274629575,14.680086815319049,14.013531491613273,Gradient,8.0,20.0,-12.0
freq_mean,1.7470267105721249,0.7820589482549075,1.2645428294135161,1.7470267105721249,48.69235539701111,59.030342597876995,52.02764151682597,53.25011317057136,Frequency,4.0,3.0,1.0
gradient_kurtosis,0.4612001710785093,0.0080616325946123,0.2346309018365608,0.4612001710785093,21.339011047396948,19.674062851543557,19.67260921896111,20.22856103930054,Gradient,24.0,15.0,9.0
freq_energy_ratio,0.5901381461767308,0.0850181955020729,0.33757817083940184,0.5901381461767308,1.3374225053042883,1.0050856303141429,0.3377115960829768,0.8934065772338027,Frequency,19.0,60.0,-41.0
corr_RG,0.0028177495917774,0.0081705861361104,0.0054941678639439,0.0081705861361104,19.33699928026694,16.005627971060157,15.67238594560508,17.00500439897739,Color,64.0,17.0,47.0
freq_min,0.9695616300684232,0.5241194109881796,0.7468405205283014,0.9695616300684232,20.364897241145123,29.036770649573906,25.370534001522813,24.924067297413945,Frequency,11.0,11.0,0.0
B_kurtosis,0.0687427615462607,0.0318352247032243,0.0502889931247425,0.0687427615462607,5.669361372241741,8.337039763821833,9.00391186852396,7.670104334862511,Channel,33.0,38.0,-5.0
gradient_skewness,0.6740560381970119,0.0385151394681609,0.3562855888325864,0.6740560381970119,34.67421624273594,26.67341960219878,31.339752849187047,30.89579623137392,Gradient,16.0,10.0,6.0
G_min,0.4954554259028749,0.2272765576663639,0.36136599178461937,0.4954554259028749,12.011672039523974,8.694053259413177,14.353863596227221,11.68652963172146,Channel,15.0,29.0,-14.0
pixel_range,0.4727178538700987,0.2009438022168624,0.3368308280434805,0.4727178538700987,10.007594169110927,12.689859716948694,10.016380299174706,10.90461139507811,Pixel,20.0,30.0,-10.0
R_skewness,0.0250471008587425,0.0080156637067558,0.01653138228274915,0.0250471008587425,10.337007902685157,12.004723041324745,13.67143616648154,12.004389036830482,Channel,51.0,26.0,25.0
freq_max,0.0146545239316695,0.0159527901769516,0.015303657054310551,0.0159527901769516,0.6679905703093202,0.33526929709790704,0.0018329770122361,0.33503094813982115,Frequency,52.0,61.0,-9.0
texture_uniformity,1.9571025337553567,0.7732998451269488,1.3652011894411529,1.9571025337553567,61.689877649674116,98.34818135894437,68.68162817214186,76.23989572692011,Texture,3.0,2.0,1.0
G_max,0.282925430912316,0.0967334064419292,0.18982941867712258,0.282925430912316,6.671639807887307,4.3456466657697375,6.6788114375985055,5.898699303751851,Channel,27.0,43.0,-16.0
spectral_flatness,1.961239109129988,1.150312893547055,1.5557760013385216,1.961239109129988,52.11668438442883,55.436393534871826,50.45110187534879,52.66805993154982,Frequency,1.0,4.0,-3.0
spectral_entropy,0.1635068106505019,0.0216374569620686,0.09257213380628525,0.1635068106505019,10.003902931835944,13.673805146479863,12.673281701580619,12.116996593298808,Frequency,31.0,24.0,7.0
color_moment_1,0.0221882479967568,0.0183574779109864,0.020272862953871602,0.0221882479967568,0.0011907085785958,0.0016881716438371334,0.0018373225567505666,0.001572067593061167,Color,46.5,64.0,-17.5
B_mean,0.0139443298289193,0.0143107625669407,0.01412754619793,0.0143107625669407,13.004978590457489,12.00785686751937,10.34227856517163,11.785038007716162,Channel,54.0,27.0,27.0
high_freq_energy,0.6072056930092814,0.0877732905045295,0.34748949175690547,0.6072056930092814,10.005445257780428,7.0166475371706705,7.011854465745155,8.01131575356542,Frequency,18.0,37.0,-19.0
